Date,User,Tweet,Polarity,Sentiment
2022-05-22 01:30:45+00:00,TheUncleDee,TRILIUNAN uang negara dibuang sia sia untuk stabilkan harga MinyakGoreng saya kasih tau caranya Pak panggil hrt dan LUHUT BP tunjuk mukanya dan suruh mereka stop bermain biangkeroknya 3 orang ini Pak,0.0,Neutral
2022-05-22 01:26:09+00:00,GhfrGhofir,Awal bulan Mei 2022 saya belanja di Mirota Kampus DIY minyak goreng harganya 23 800 liter,0.0,Neutral
2022-05-22 01:14:49+00:00,SumariansyahE,Bisa aja penikmat minyakgoreng lg cari perlindungan itu,0.0,Neutral
2022-05-22 01:09:46+00:00,Joe263572927,Seharusnya melalui mekanisme pasar Negara melindungi dari oligarki BUMN masuk ke industri hilir Pemerintah mengeluarkan jurus barunya untuk menekan harga minyak goreng Terbaru pemerintah membuat program MigorRakyat,0.0,Neutral
2022-05-22 00:35:34+00:00,BentangImaji,Untuk mengatasi persoalan tersebut Presiden mengakui telah memutuskan beberapa kebijakan untuk mengatasi persoalan tersebut Akhirnya saya setop setop minyak goreng enggak boleh ekspor Tetapi itu juga kebijakan yang tidak mudah kata Presiden,0.0,Neutral
2022-05-22 00:35:33+00:00,BentangImaji,Presiden menjelaskan sejak Januari 2022 telah terjadi kenaikan harga minyak goreng yang disebabkan adanya kenaikan harga internasional Karena harga minyak goreng terutama di Eropa di Amerika naiknya tinggi harga di dalam negeri ketarik naik harganya ucap Presiden,0.0,Neutral
2022-05-22 00:35:31+00:00,BentangImaji,Seperti minyak goreng Presiden mengatakan bahwa sejumlah kebijakan telah diputuskan untuk menjaga kestabilan harga minyak goreng di pasaran Namun Kepala Negara mengakui bahwa persoalan minyak goreng bukanlah hal mudah,0.0,Neutral
2022-05-22 00:35:30+00:00,BentangImaji,Meski tidak mudah Pemerintah terus berupaya agar tidak terjadi lonjakan kenaikan harga di kedua sektor tersebut Presiden memberikan contoh kebijakan yang ditempuh Pemerintah agar tidak terjadi kenaikan harga minyak goreng,0.0,Neutral
2022-05-22 00:14:37+00:00,Cak_X01,Untuk mengatasi persoalan tersebut Presiden mengakui telah memutuskan beberapa kebijakan untuk mengatasi persoalan tersebut Akhirnya saya setop setop minyak goreng enggak boleh ekspor Tetapi itu juga kebijakan yang tidak mudah kata Presiden,0.0,Neutral
2022-05-22 00:14:34+00:00,Cak_X01,Presiden menjelaskan sejak Januari 2022 telah terjadi kenaikan harga minyak goreng yang disebabkan adanya kenaikan harga internasional Karena harga minyak goreng terutama di Eropa di Amerika naiknya tinggi harga di dalam negeri ketarik naik harganya ucap Presiden,0.0,Neutral
2022-05-22 00:14:31+00:00,Cak_X01,Seperti minyak goreng Presiden mengatakan bahwa sejumlah kebijakan telah diputuskan untuk menjaga kestabilan harga minyak goreng di pasaran Namun Kepala Negara mengakui bahwa persoalan minyak goreng bukanlah hal mudah,0.0,Neutral
2022-05-22 00:14:29+00:00,Cak_X01,Meski tidak mudah Pemerintah terus berupaya agar tidak terjadi lonjakan kenaikan harga di kedua sektor tersebut Presiden memberikan contoh kebijakan yang ditempuh Pemerintah agar tidak terjadi kenaikan harga minyak goreng,0.0,Neutral
2022-05-21 23:30:49+00:00,Iyan_concept,Utk apa banding2kan dgn negara lain mau naikin harga lagi dgn alasan harga disini lebih murah Saran utk pak urus harga minyak goreng di negara sendiri gak usah urusin harga di negara lain KopiSusi,0.0,Neutral
2022-05-21 23:25:31+00:00,fegarif,Ga tau takutnya kasusnya mirip minyak goreng,0.0,Neutral
2022-05-21 23:18:37+00:00,JustAFreeStyle,Pfttt Mending lu tertipin kaumlu supaya gak jadi mafia minyak goreng korup bansos dan berebutan makanan saat demo Jangan Lupa senyum gaes,0.0,Neutral
